id,email_text,related_to_jobhunt
1,We invite you to the next step of our hiring process. Please schedule an interview using the link below.,True
2,Unfortunately after careful consideration we will not be moving forward with your application.,True
3,Hi friend we are going to cinema tommorow evening. Will you go with us?,False
4,Good morning check our extraordinary discounts on new TVs. Click the link below:,False
5,Reminder your gym membership renewal is due next week. You can extend it by calling our customer service or on our website,False
6,We are excited to announce a new update to your favorite mobile app available now in the store. Download now using the link below,False
7,Thank you for applying for this job offer. We will contact you after reviewing your resume.,True
8,You have a new message from your internet service provider please log in to view it,False
9,Thank you for applying to our company but after careful review we have decided not to move forward with your application at this time,True
10,We appreciate your interest in the role but unfortunately we will not be continuing with your candidacy,True
11,After evaluating your profile we have chosen to pursue other candidates and will not be offering you the position,True
12,Your application has been reviewed and we regret to inform you that you will not be moving to the next stage,True
13,Your online order has been received and will be processed within two business days,False
14,Congratulations you have been selected to move forward to the next step of the hiring process please schedule an interview at your earliest convenience,True
15,We are pleased to inform you that you have advanced to the next round of our selection process please confirm your availability for an interview,True
16,Our team was impressed by your application and we would like to invite you to a phone screening,True
17,You have been shortlisted for the position and we would like to invite you for an interview,True
18,We are happy to let you know that you passed the initial stage and we would like to schedule a technical interview with you,True
19,Your monthly electricity bill is now available for viewing in your customer portal,False
20,We noticed unusual activity on your bank account please verify your recent transactions,False
21,Reminder your subscription will expire soon please renew to continue enjoying our service,False
22,Your package has been shipped and should arrive within three business days. Use the link below to track your order,False
23,Special offer get 20 percent off all products this weekend only. Use the code below to claim your discount,False
24,We inform you that the recruitment process for the marketing position is taking longer than expected we will update you when we have news,True
25,This is to confirm that your application for the internship program has been received and is under consideration,True
26,Due to a high number of applicants the selection process for the design role is delayed but we will contact you if you are shortlisted,True
27,Your flight itinerary has been confirmed please check the attached travel details,False
28,Join us for our upcoming webinar about personal finance tips and strategies. Click the link below to book your spot,False
29,Your account password was successfully changed if this was not you please contact support immediately,False
30,We would like to invite you to participate in our customer satisfaction survey and share your feedback,False
